waypoint1	waypoint2	distance_m	duration_s
aeroport T2 metro, barcelona	congres metro, barcelona	24449	4397
aeroport T2 metro, barcelona	cornella centre metro, barcelona	13756	2088
aeroport T2 metro, barcelona	cornella riera metro, barcelona	14172	2382
aeroport T2 metro, barcelona	Diagonal, Barcelona, Spain	20201	3959
aeroport T2 metro, barcelona	Drassanes metro, barcelona	18405	3162
aeroport T2 metro, barcelona	el carmel metro, barcelona	27730	5015
aeroport T2 metro, barcelona	el coll metro, barcelona	28917	5206
aeroport T2 metro, barcelona	el maresme metro, barcelona	25580	4457
aeroport T2 metro, barcelona	el prat estacio metro, barcelona	5562	1623
aeroport T2 metro, barcelona	el putxet metro, barcelona	20850	3714
aeroport T2 metro, barcelona	encants metro, barcelona	22117	3705
aeroport T2 metro, barcelona	entenca metro, barcelona	18282	3431
aeroport T2 metro, barcelona	ernest lluch metro, barcelona	16115	2988
aeroport T2 metro, barcelona	esglesia major metro, barcelona	30151	5956
aeroport T2 metro, barcelona	espanya metro, barcelona	16233	2198
aeroport T2 metro, barcelona	europa metro, barcelona	12888	2332
aeroport T2 metro, barcelona	Fabra metro, barcelona	25559	4697
aeroport T2 metro, barcelona	Fira metro, barcelona	12061	2149
aeroport T2 metro, barcelona	Florida metro, barcelona	15214	2896
aeroport T2 metro, barcelona	Fondo metro, barcelona	30348	5439
aeroport T2 metro, barcelona	Fontana metro, barcelona	21067	3663
aeroport T2 metro, barcelona	Gavarra metro, barcelona	14387	2534
aeroport T2 metro, barcelona	girona metro, barcelona	19447	3417
aeroport T2 metro, barcelona	glories metro, barcelona	22452	4212
aeroport T2 metro, barcelona	gorg metro, barcelona	17264	3015
aeroport T2 metro, barcelona	gornal metro, barcelona	13359	1944
aeroport T2 metro, barcelona	gracia metro, barcelona	20449	3774
aeroport T2 metro, barcelona	guinardo metro, barcelona	22572	3904
aeroport T2 metro, barcelona	horta metro, barcelona	27018	4879
aeroport T2 metro, barcelona	hospital de bellvitge metro, barcelona	7316	1925
aeroport T2 metro, barcelona	dos de maig metro, barcelona	22329	4056
aeroport T2 metro, barcelona	hospital clinic metro, barcelona	18929	3538
aeroport T2 metro, barcelona	hostafrancs metro, barcelona	16240	2432
aeroport T2 metro, barcelona	ildefons cerda metro, barcelona	13959	1809
aeroport T2 metro, barcelona	Jaume I metro, barcelona	19654	3284
aeroport T2 metro, barcelona	Joanic metro, barcelona	21105	3721
aeroport T2 metro, barcelona	Bonanova metro, barcelona	20112	3567
aeroport T2 metro, barcelona	La pau metro, barcelona	25002	4261
aeroport T2 metro, barcelona	Sagrera metro, barcelona	24164	4361
aeroport T2 metro, barcelona	La salut metro, barcelona	28509	5386
aeroport T2 metro, barcelona	Les Corts metro, barcelona	18708	3436
aeroport T2 metro, barcelona	Les moreres metro, barcelona	4481	1039
aeroport T2 metro, barcelona	Les tres torres metro, barcelona	20057	3530
aeroport T2 metro, barcelona	Lesseps metro, barcelona	21438	3657
aeroport T2 metro, barcelona	Liceu metro, barcelona	18945	3522
aeroport T2 metro, barcelona	Llacuna metro, barcelona	23372	4028
aeroport T2 metro, barcelona	llefia metro, barcelona	27595	5179
